category,item_name,price
Starters,Bruschetta,£5.99
Starters,Garlic Bread,£3.99
Starters,Caprese Salad,£6.99
Mains,Spaghetti Carbonara,£12.99
Mains,Linguine Alfredo,£14.49
Mains,Fettuccine Bolognese,£13.99
Mains,Margherita Pizza,£9.99
Mains,Four Cheese Pizza,£11.99
Mains,Peperoni Pizza,£10.99
Mains,Grilled Salmon,£15.99
Mains,Vegetarian Lasagna,£13.49
Mains,Chicken Parmesan,£14.49
Mains,Beef Bolognese,£16.99
Desserts,Tiramisu,£6.49
Desserts,Panna Cotta,£5.99
Desserts,Chocolate Fondant,£7.99
Drinks,House Wine,£4.99
Drinks,Lemonade,£2.49
Drinks,Soft Drink,£1.99
Drinks,Coffee,£2.99
Drinks,Espresso,£1.49
